Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$461,339,528","$372,755",<0.1%,"$460,966,773",99.9%
2,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
3,"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%
4,Tenet,"$363,129,000","$57,929,000",16%,"$305,200,000",84%
5,Demon Slayer the Movie: Mugen Train,"$352,796,561",-,-,"$352,796,561",100%
6,Sonic the Hedgehog,"$319,715,683","$148,974,665",46.6%,"$170,741,018",53.4%
7,Dolittle,"$245,295,766","$77,047,065",31.4%,"$168,248,701",68.6%
8,Legend of Deification,"$240,655,522","$214,670",<0.1%,"$240,440,852",99.9%
9,Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
10,A Little Red Flower,"$182,800,000",-,-,"$182,800,000",100%
11,Shock Wave 2,"$163,575,776",-,-,"$163,575,776",100%
12,The Sacrifice,"$161,047,608",-,-,"$161,047,608",100%
13,The Invisible Man,"$143,151,000","$70,410,000",49.2%,"$72,741,000",50.8%
14,Wonder Woman 1984,"$142,500,000","$35,800,000",25.1%,"$106,700,000",74.9%
15,Onward,"$141,951,092","$61,555,145",43.4%,"$80,395,947",56.6%
16,The Croods: A New Age,"$135,334,455","$40,015,455",29.6%,"$95,319,000",70.4%
17,The Call of the Wild,"$110,954,519","$62,342,368",56.2%,"$48,612,151",43.8%
18,Warm Hug,"$103,799,872",-,-,"$103,799,872",100%
19,Caught in Time,"$80,542,950",-,-,"$80,542,950",100%
20,The Yin-Yang Master: Dream of Eternity,"$68,000,000",-,-,"$68,000,000",100%
21,Mulan,"$66,800,000",-,-,"$66,800,000",100%
22,The Rescue,"$63,198,406","$18,797",<0.1%,"$63,179,609",100%
23,Love You Forever,"$60,644,887",-,-,"$60,644,887",100%
24,Soul,"$57,400,000",-,-,"$57,400,000",100%
25,Tolo Tolo,"$52,186,426",-,-,"$52,186,426",100%
26,Vanguard,"$50,814,965","$793,525",1.6%,"$50,021,440",98.4%
27,Fantasy Island,"$48,811,343","$27,309,289",55.9%,"$21,502,054",44.1%
28,After We Collided,"$47,990,414","$2,386,483",5%,"$45,603,931",95%
29,"From Today, It's My Turn: The Movie","$47,866,854",-,-,"$47,866,854",100%
30,Greenland,"$47,800,000",-,-,"$47,800,000",100%
31,The New Mutants,"$46,770,211","$23,852,659",51%,"$22,917,552",49%
32,Tanhaji: The Unsung Warrior,"$45,221,814",-,-,"$45,221,814",100%
33,Trolls World Tour,"$44,777,000",-,-,"$44,777,000",100%
